trip_id,vehicle_id,attempt_number,draw_number,parking_index,success,is_planned_cell
192,19,1,1,138,True,True
193,19,1,1,119,True,True
194,19,1,1,53,True,True
195,19,1,1,62,False,True
195,19,2,1,38,True,True
196,19,1,1,141,True,True
197,19,1,1,78,True,True
198,19,1,1,86,True,True
199,19,1,1,59,True,True
200,20,1,1,90,True,True
201,20,1,1,66,False,True
201,20,2,1,78,False,True
201,20,3,1,78,True,True
202,20,1,1,99,True,True
203,20,1,1,134,False,True
203,20,2,1,134,False,True
203,20,3,1,123,True,True
204,20,1,1,51,False,True
204,20,2,1,51,True,True
205,20,1,1,97,True,True
206,20,1,1,52,True,True
207,20,1,1,38,True,False
208,20,1,1,31,True,False
209,20,1,1,50,False,False
209,20,1,2,51,False,True
209,20,2,1,51,False,True
209,20,3,1,66,False,True
209,20,4,1,45,False,True
209,20,5,1,51,False,False
209,20,5,2,60,True,True
210,21,1,1,98,False,False
210,21,1,2,104,False,True
210,21,2,1,98,False,True
210,21,3,1,97,True,True
211,21,1,1,16,False,True
211,21,2,1,8,False,True
211,21,3,1,8,False,True
211,21,4,1,8,False,True
211,21,5,1,16,False,True
211,21,6,1,5,False,True
211,21,7,1,5,True,True
212,21,1,1,16,False,True
212,21,2,1,34,True,True
213,21,1,1,148,False,True
213,21,2,1,148,False,True
213,21,3,1,154,False,True
213,21,4,1,154,True,True
214,21,1,1,13,False,True
214,21,2,1,13,True,True
215,21,1,1,47,True,False
216,21,1,1,52,True,False
217,21,1,1,149,False,True
217,21,2,1,140,False,True
217,21,3,1,140,False,True
217,21,4,1,149,True,True
218,21,1,1,148,True,True
219,21,1,1,128,True,True
220,22,1,1,130,False,True
220,22,2,1,141,False,False
220,22,2,2,149,True,True
221,22,1,1,147,True,False
222,22,1,1,31,True,True
223,22,1,1,59,True,False
224,22,1,1,38,True,True
225,22,1,1,115,True,True
226,22,1,1,78,False,True
226,22,2,1,78,False,True
226,22,3,1,79,True,False
227,22,1,1,80,True,False
228,22,1,1,97,True,True
229,22,1,1,143,True,True
230,23,1,1,37,False,False
230,23,1,2,29,True,False
231,23,1,1,46,False,True
231,23,2,1,53,True,True
232,23,1,1,99,True,True
233,23,1,1,119,True,False
234,23,1,1,58,False,True
234,23,2,1,41,False,False
234,23,2,2,32,False,True
234,23,3,1,32,False,True
234,23,4,1,32,True,True
235,23,1,1,74,True,True
236,23,1,1,27,True,True
237,23,1,1,70,True,True
238,23,1,1,70,False,True
238,23,2,1,70,False,True
238,23,3,1,70,False,True
238,23,4,1,85,True,True
239,23,1,1,115,True,True
240,24,1,1,113,False,False
240,24,1,2,114,False,True
240,24,2,1,114,False,True
240,24,3,1,114,False,True
240,24,4,1,113,True,True
241,24,1,1,7,False,True
241,24,2,1,4,False,False
241,24,2,2,5,True,True
242,24,1,1,78,True,True
243,24,1,1,55,False,True
243,24,2,1,55,True,True
244,24,1,1,99,True,True
245,24,1,1,17,True,False
246,24,1,1,3,False,True
246,24,2,1,27,True,False
247,24,1,1,56,False,True
247,24,2,1,56,True,True
248,24,1,1,78,True,False
249,24,1,1,103,True,True
250,25,1,1,29,True,True
251,25,1,1,77,True,True
252,25,1,1,73,False,True
252,25,2,1,72,False,True
252,25,3,1,73,False,True
252,25,4,1,73,True,True
253,25,1,1,97,False,True
253,25,2,1,103,False,False
253,25,2,2,110,False,True
253,25,3,1,110,True,True
254,25,1,1,34,True,True
255,25,1,1,72,False,True
255,25,2,1,74,True,True
256,25,1,1,87,False,True
256,25,2,1,83,False,True
256,25,3,1,79,False,True
256,25,4,1,87,False,True
256,25,5,1,87,False,True
256,25,6,1,83,True,False
