estimator,parking_index,theta_hat,successes,exposure
oracle_exposure,23,0.6190476190476191,12.0,19.0
oracle_exposure,24,0.2903225806451613,8.0,29.0
oracle_exposure,25,0.31746031746031744,19.0,61.0
oracle_exposure,26,0.7058823529411765,35.0,49.0
oracle_exposure,27,0.6756756756756757,49.0,72.0
oracle_exposure,28,0.5161290322580645,31.0,60.0
oracle_exposure,29,0.6774193548387096,20.0,29.0
oracle_exposure,30,0.34210526315789475,25.0,74.0
oracle_exposure,31,0.5961538461538461,30.0,50.0
oracle_exposure,32,0.5714285714285714,39.0,68.0
oracle_exposure,33,0.3626373626373626,32.0,89.0
oracle_exposure,34,0.5147058823529411,34.0,66.0
oracle_exposure,35,0.19047619047619047,11.0,61.0
oracle_exposure,36,0.41379310344827586,23.0,56.0
oracle_exposure,37,0.3770491803278688,22.0,59.0
oracle_exposure,38,0.6470588235294118,43.0,66.0
oracle_exposure,39,0.6376811594202898,43.0,67.0
oracle_exposure,40,0.6417910447761194,42.0,65.0
oracle_exposure,41,0.6666666666666666,57.0,85.0
oracle_exposure,42,0.20930232558139536,17.0,84.0
oracle_exposure,43,0.27631578947368424,20.0,74.0
oracle_exposure,44,0.6712328767123288,48.0,71.0
oracle_exposure,45,0.4166666666666667,34.0,82.0
oracle_exposure,46,0.5084745762711864,29.0,57.0
oracle_exposure,47,0.41818181818181815,22.0,53.0
oracle_exposure,48,0.625,34.0,54.0
oracle_exposure,49,0.17307692307692307,17.0,102.0
oracle_exposure,50,0.5887850467289719,62.0,105.0
oracle_exposure,51,0.27058823529411763,22.0,83.0
oracle_exposure,52,0.639344262295082,38.0,59.0
oracle_exposure,53,0.55,43.0,78.0
oracle_exposure,54,0.4880952380952381,40.0,82.0
oracle_exposure,55,0.5714285714285714,31.0,54.0
oracle_exposure,56,0.4,31.0,78.0
oracle_exposure,57,0.23595505617977527,20.0,87.0
oracle_exposure,58,0.7014925373134329,46.0,65.0
oracle_exposure,59,0.5286624203821656,82.0,155.0
oracle_exposure,60,0.6792452830188679,35.0,51.0
oracle_exposure,61,0.6142857142857143,42.0,68.0
oracle_exposure,62,0.6883116883116883,52.0,75.0
oracle_exposure,63,0.5294117647058824,35.0,66.0
oracle_exposure,64,0.28735632183908044,24.0,85.0
oracle_exposure,65,0.64,47.0,73.0
oracle_exposure,66,0.2983425414364641,53.0,179.0
oracle_exposure,67,0.6951219512195121,56.0,80.0
oracle_exposure,68,0.7254901960784313,36.0,49.0
oracle_exposure,69,0.8181818181818182,44.0,53.0
