trip_id,vehicle_id,attempt_number,planned_index,actual_index,success,stopped_early,early_eligible_indices
138,13,2,107,107,True,False,
139,13,1,86,86,True,False,
140,14,1,51,51,False,False,
140,14,2,50,50,True,False,
141,14,1,77,59,True,True,59 72
142,14,1,55,55,True,False,
143,14,1,128,128,False,False,
143,14,2,122,122,False,False,121
143,14,3,122,122,False,False,
143,14,4,139,139,False,False,
143,14,5,143,143,True,False,
144,14,1,65,77,True,True,77
145,14,1,129,129,True,False,
146,14,1,7,7,False,False,
146,14,2,7,7,True,False,
147,14,1,65,65,True,False,58
148,14,1,88,88,False,False,
148,14,2,87,87,False,False,
148,14,3,81,81,True,False,88 84
149,14,1,59,59,True,False,
150,15,1,68,68,True,False,
151,15,1,74,74,True,False,
152,15,1,85,85,True,False,
153,15,1,81,78,True,True,78 79 80
154,15,1,97,97,True,False,
155,15,1,110,110,False,False,
155,15,2,110,110,False,False,
155,15,3,110,110,False,False,
155,15,4,110,110,False,False,
155,15,5,110,110,True,False,
156,15,1,47,68,True,True,68 60 55 53
157,15,1,77,77,True,False,
158,15,1,86,86,False,False,
158,15,2,86,86,False,False,
158,15,3,86,86,True,False,
159,15,1,60,60,False,False,
159,15,2,60,60,True,False,
160,16,1,108,108,False,False,
160,16,2,118,118,True,False,
161,16,1,154,154,True,False,147
162,16,1,57,57,False,False,
162,16,2,57,57,False,False,
162,16,3,64,64,False,False,
162,16,4,71,71,False,False,
162,16,5,71,71,False,False,
162,16,6,71,71,True,False,
163,16,1,134,134,True,False,
164,16,1,15,15,False,False,
164,16,2,7,7,False,False,
164,16,3,7,7,True,False,
165,16,1,23,23,True,False,
166,16,1,127,127,False,False,
166,16,2,127,127,False,False,
166,16,3,127,127,False,False,
166,16,4,118,118,True,False,
167,16,1,11,11,False,False,
167,16,2,11,11,False,False,
167,16,3,11,11,False,False,
167,16,4,11,11,False,False,
167,16,5,2,2,False,False,
167,16,6,2,2,False,False,
167,16,7,11,11,True,False,
168,16,1,5,5,True,False,
169,16,1,96,89,True,True,89
170,17,1,72,72,True,False,
171,17,1,67,67,True,False,
172,17,1,26,26,False,False,31
172,17,2,25,25,False,False,
172,17,3,44,44,True,False,
173,17,1,133,133,False,False,
173,17,2,134,134,False,False,
173,17,3,133,133,True,False,
174,17,1,31,31,False,False,
174,17,2,31,31,False,False,
174,17,3,31,31,False,False,
174,17,4,31,31,True,False,
175,17,1,86,86,False,False,
175,17,2,77,77,True,False,
176,17,1,151,151,False,False,
176,17,2,151,151,True,False,
177,17,1,76,76,False,False,
177,17,2,77,77,True,False,
178,17,1,116,116,False,False,100
178,17,2,116,116,True,False,
179,17,1,122,122,False,False,121
179,17,2,122,122,False,False,
179,17,3,104,104,False,False,
179,17,4,104,104,True,False,
180,18,1,73,73,False,False,
180,18,2,102,102,False,False,
180,18,3,122,122,True,False,103
181,18,1,90,90,False,False,
181,18,2,90,90,True,False,
182,18,1,105,105,True,False,104
183,18,1,71,71,True,False,
184,18,1,58,58,True,False,64 57
185,18,1,122,121,True,True,121
